Region,Crop,Season,Farm_Method,Greenhouse,Area_ha,Days_Since_Spray,Pesticide_Amount_L,Temp_C,Humidity,Rainfall_7d_mm,Soil_pH,Sample_Weight_g,Year,Pesticide_Result
강원,고추,봄,유기,Y,2.26,48.0,0.91,22.5,78.0,111.4,6.47,161,2018,0
경남,상추,가을,관행,N,2.33,26.6,0.78,21.7,44.0,29.9,6.59,135,2021,0
전남,고추,겨울,관행,N,4.44,30.2,0.73,19.5,54.1,80.3,5.84,191,2023,0
강원,사과,봄,관행,N,2.48,33.6,0.0,23.5,76.9,54.7,6.42,299,2019,0
전남,토마토,봄,유기,N,0.74,39.4,0.9,22.3,61.5,57.8,6.99,80,2020,0
전남,감귤,여름,유기,Y,2.58,36.9,0.79,21.3,48.6,68.0,6.94,249,2022,0
제주,사과,여름,유기,N,2.36,21.4,1.09,22.7,60.6,84.2,6.68,179,2019,0
제주,감귤,가을,유기,Y,0.91,48.1,0.0,24.6,48.4,77.0,6.34,128,2023,0
경기,토마토,겨울,유기,N,1.15,38.3,0.24,17.5,54.9,68.1,6.27,192,2020,0
전남,포도,겨울,관행,Y,2.5,20.2,1.17,20.5,85.1,85.7,5.7,143,2019,0
경북,배추,봄,관행,N,2.18,32.8,0.34,22.2,53.9,129.9,6.89,250,2019,0
전남,토마토,겨울,관행,Y,1.31,49.2,0.73,28.5,60.5,60.1,6.97,163,2018,0
경북,감귤,겨울,유기,N,0.58,39.5,1.33,19.1,66.8,82.0,5.63,291,2021,0
경남,감귤,겨울,관행,Y,0.99,52.5,0.75,21.8,71.6,66.8,6.1,242,2022,0
제주,토마토,여름,관행,N,4.14,47.6,0.64,22.1,76.9,105.2,6.76,156,2023,0
경북,포도,가을,관행,N,2.45,18.3,1.26,23.8,72.2,61.7,6.37,132,2018,0
전남,고추,겨울,관행,Y,1.09,35.7,0.73,15.2,70.6,54.4,5.83,257,2022,0
전남,사과,봄,관행,Y,1.18,18.7,1.24,27.4,72.3,31.2,6.16,156,2019,2
경기,토마토,겨울,유기,Y,3.5,8.6,2.22,19.4,81.1,45.5,6.39,191,2022,2
충북,배추,봄,관행,N,1.69,20.2,1.24,16.7,86.0,12.5,5.57,186,2023,0
경남,고추,봄,유기,Y,1.55,41.4,0.71,22.9,65.2,51.6,6.82,204,2019,0
충남,포도,봄,유기,N,1.36,36.8,1.03,25.7,65.2,93.3,6.94,236,2018,0
충북,고추,봄,관행,N,0.52,43.9,0.46,31.7,53.7,70.5,6.42,131,2021,0
전북,토마토,가을,관행,N,2.22,7.9,0.87,25.3,58.4,15.2,7.46,303,2019,1
제주,토마토,겨울,관행,N,0.39,5.7,1.51,16.6,83.7,16.3,6.22,304,2022,2
전남,배추,가을,관행,N,2.11,40.9,1.07,19.6,53.8,0.0,6.72,132,2018,0
경기,감귤,여름,유기,N,2.22,32.5,0.55,23.5,70.6,67.9,6.55,161,2021,0
경북,사과,겨울,유기,Y,0.67,39.7,0.72,24.3,79.1,114.0,7.11,245,2022,0
경기,감귤,겨울,관행,N,2.35,32.5,0.0,23.1,41.7,78.0,5.61,232,2021,0
제주,감귤,가을,유기,Y,1.03,25.7,0.97,25.9,50.6,41.1,6.48,249,2023,0
경북,사과,여름,관행,N,2.01,26.3,0.54,20.5,62.9,70.0,7.42,152,2018,0
충남,감귤,여름,관행,N,0.41,25.1,0.57,13.2,54.0,50.3,6.44,194,2018,0
충남,고추,가을,관행,Y,1.8,18.5,0.6,26.0,82.8,68.4,6.2,162,2020,0
경기,상추,겨울,유기,N,1.45,19.5,1.08,21.7,73.9,42.0,5.91,104,2023,0
전북,배추,봄,유기,N,0.39,44.7,0.54,35.4,44.8,66.8,6.77,212,2020,0
제주,토마토,겨울,관행,N,3.35,44.7,0.75,18.6,50.1,124.6,6.3,211,2020,0
충남,상추,봄,관행,N,2.6,41.2,1.16,21.0,79.2,102.3,5.74,156,2018,0
전남,토마토,여름,관행,N,0.24,31.7,1.77,22.8,68.7,20.7,5.53,316,2018,0
경기,사과,여름,관행,Y,1.89,1.1,2.64,31.5,73.2,0.0,5.92,207,2019,1
충북,감귤,봄,관행,Y,2.47,18.7,0.97,26.9,71.7,11.0,7.37,203,2023,2
전북,상추,가을,유기,Y,3.97,0.0,3.15,30.6,87.5,0.0,6.08,252,2020,1
강원,배추,봄,관행,Y,0.73,41.6,0.37,23.3,54.2,80.3,7.47,153,2019,0
충남,포도,가을,관행,N,2.26,52.2,0.41,25.1,96.1,118.5,5.74,179,2018,0
전북,감귤,겨울,관행,Y,1.48,0.5,1.27,25.3,75.3,16.8,6.51,196,2018,1
전북,사과,봄,관행,Y,1.07,6.3,2.8,24.4,72.1,0.0,5.81,157,2018,1
전남,토마토,겨울,관행,Y,2.01,43.9,1.09,17.8,75.7,98.6,6.15,137,2022,0
전북,사과,가을,유기,N,3.4,44.9,0.8,25.3,68.1,12.6,6.97,157,2019,0
전북,사과,겨울,유기,Y,2.14,29.0,1.12,24.0,50.3,32.6,6.59,153,2019,0
경북,상추,봄,유기,N,3.12,27.3,0.55,30.1,74.6,100.0,6.95,178,2018,0
경남,포도,여름,관행,N,1.78,34.6,1.07,17.1,65.8,90.8,6.26,260,2018,0
제주,고추,가을,관행,Y,1.56,49.4,0.1,23.2,57.3,120.2,5.55,133,2023,0
제주,포도,겨울,유기,Y,0.61,40.4,1.28,23.4,71.6,134.6,6.22,152,2023,0
충북,감귤,가을,유기,Y,1.32,28.7,0.76,20.8,72.8,111.5,5.97,153,2019,0
충북,배추,가을,유기,Y,1.73,40.6,0.16,20.6,56.3,86.0,6.62,195,2022,0
강원,감귤,여름,관행,Y,1.81,25.1,0.0,19.4,68.6,91.1,5.97,100,2023,0
제주,고추,겨울,유기,N,2.56,15.0,1.96,23.8,73.3,0.0,6.28,304,2021,1
강원,고추,봄,관행,Y,5.44,13.7,1.6,29.3,63.3,60.8,5.99,304,2020,2
경북,배추,여름,관행,Y,1.27,29.7,0.05,23.0,60.6,90.6,5.63,275,2019,0
경북,포도,겨울,유기,N,5.91,38.1,0.56,13.6,81.5,64.9,6.24,178,2019,0
강원,포도,가을,관행,Y,0.5,28.7,0.61,24.7,52.9,100.7,6.59,283,2018,0
제주,고추,여름,관행,N,3.31,36.9,0.83,21.4,76.8,102.3,6.65,205,2020,0
충북,배추,겨울,관행,Y,0.69,24.3,0.83,31.1,38.2,98.7,7.88,103,2021,0
경기,고추,겨울,관행,N,2.38,44.6,0.76,16.8,30.0,81.5,5.66,102,2020,0
충남,배추,여름,유기,N,3.13,1.3,1.1,34.0,78.9,17.3,6.67,260,2018,2
강원,감귤,겨울,관행,N,2.91,54.8,0.85,22.4,64.8,110.0,6.86,108,2019,0
전북,배추,가을,관행,Y,1.43,40.5,0.89,12.9,71.7,80.6,5.93,245,2021,0
경기,토마토,겨울,관행,Y,2.21,25.5,0.98,25.5,58.1,27.3,6.11,107,2019,0
강원,고추,겨울,유기,N,3.49,29.4,0.75,32.7,74.3,48.8,6.85,178,2022,0
경기,포도,봄,유기,N,1.64,41.6,1.32,17.7,52.3,97.5,6.93,198,2020,0
충남,포도,봄,유기,N,3.26,19.6,0.83,20.9,58.9,24.6,6.14,256,2022,0
경북,상추,여름,관행,Y,2.13,26.4,0.23,15.9,59.4,92.2,6.35,183,2022,0
경남,토마토,봄,유기,N,1.61,40.8,0.87,20.3,81.7,94.5,7.1,123,2023,0
경기,고추,여름,관행,Y,0.98,51.7,0.58,14.1,90.8,82.3,5.55,159,2018,0
경남,사과,가을,유기,Y,0.8,37.9,0.59,20.6,52.9,89.8,6.42,282,2018,0
충남,배추,봄,유기,N,3.17,15.7,0.97,20.5,50.1,111.4,7.1,141,2023,0
강원,고추,여름,유기,Y,1.26,46.0,0.96,17.7,69.1,71.1,6.86,221,2018,0
경기,토마토,여름,관행,N,0.47,34.9,0.44,27.9,71.0,65.2,6.82,299,2018,0
전남,토마토,봄,관행,Y,1.88,40.8,0.57,18.5,79.0,93.3,6.08,84,2023,0
경북,상추,가을,관행,N,3.19,31.8,0.7,17.4,53.9,21.4,6.45,295,2021,0
충남,상추,겨울,유기,N,1.39,21.7,0.87,14.5,56.6,147.3,6.35,162,2023,0
제주,사과,봄,유기,N,5.28,22.1,0.51,13.6,39.9,93.0,6.98,174,2021,0
경기,상추,가을,관행,Y,2.42,29.6,1.04,16.5,40.1,61.0,6.44,176,2018,0
충남,배추,여름,유기,Y,1.01,22.2,0.83,17.5,65.4,66.4,6.64,236,2019,0
전북,감귤,겨울,관행,Y,2.56,5.3,2.61,30.9,65.1,0.0,5.81,111,2022,1
충북,배추,여름,관행,N,0.62,33.6,0.88,29.8,65.4,115.6,5.85,200,2021,0
전남,토마토,봄,관행,Y,0.18,30.2,0.74,25.8,57.0,81.7,5.68,203,2022,0
경기,사과,봄,관행,Y,2.11,40.8,0.79,15.4,65.8,93.4,5.67,197,2019,0
전남,감귤,겨울,유기,N,2.05,24.6,0.53,24.3,70.3,73.0,7.04,273,2021,0
제주,포도,여름,관행,N,2.25,30.4,0.9,14.3,57.6,94.0,6.02,158,2021,0
경기,포도,봄,유기,N,0.62,38.4,0.42,24.4,78.0,103.2,5.92,219,2023,0
충북,포도,가을,관행,Y,3.27,11.8,0.19,19.7,81.5,95.6,6.43,200,2020,0
전북,토마토,겨울,유기,N,2.51,39.5,1.25,21.9,62.1,89.0,4.96,97,2022,0
전남,배추,가을,관행,Y,1.67,21.4,0.98,21.3,63.4,45.7,6.79,233,2019,2
제주,상추,겨울,관행,Y,2.26,4.3,1.75,22.2,83.4,8.3,6.15,251,2022,1
경남,상추,겨울,유기,Y,1.42,48.5,0.73,21.8,77.9,100.7,6.23,203,2018,0
전남,감귤,봄,관행,N,3.13,36.6,1.36,19.6,73.9,66.3,6.2,234,2020,0
충남,토마토,여름,관행,Y,4.02,31.8,0.61,26.5,73.7,109.3,5.95,253,2019,0
전북,상추,겨울,유기,Y,2.21,56.5,1.03,23.3,74.1,97.8,5.29,226,2022,0
경기,감귤,여름,유기,N,1.83,13.9,0.35,27.1,57.7,64.5,6.56,230,2023,0
충북,상추,가을,관행,Y,4.36,40.3,0.57,12.5,100.0,102.6,6.54,231,2018,0
경남,사과,여름,관행,Y,1.61,32.7,1.08,13.2,62.9,73.7,7.66,182,2020,0
경북,감귤,봄,관행,Y,2.03,45.1,1.18,16.0,78.2,108.0,6.83,226,2022,0
전북,포도,여름,관행,Y,0.18,34.6,1.01,18.2,70.4,89.0,6.18,97,2020,0
경북,토마토,봄,유기,N,1.57,28.0,0.58,15.5,66.0,48.9,7.23,173,2018,0
충남,토마토,가을,관행,N,4.03,33.8,0.59,24.9,72.0,69.5,6.35,176,2019,0
경남,포도,여름,유기,Y,1.84,33.1,1.02,18.9,68.4,23.7,5.78,165,2019,0
충북,감귤,가을,관행,Y,1.71,29.1,1.6,27.9,76.0,83.0,5.99,111,2022,0
강원,고추,봄,유기,N,1.53,28.3,1.11,21.5,47.0,36.9,6.03,180,2022,0
전남,상추,봄,관행,Y,0.74,48.6,0.37,16.2,39.9,66.3,5.98,277,2020,0
충남,포도,가을,유기,Y,3.72,22.3,1.0,19.2,52.1,19.7,5.68,206,2021,0
전남,감귤,겨울,유기,Y,0.8,26.9,1.53,24.1,39.9,82.2,7.4,147,2021,0
경기,토마토,겨울,유기,N,4.69,28.9,0.61,23.8,48.3,106.6,6.22,201,2022,0
충북,감귤,겨울,유기,N,2.44,33.3,0.92,23.1,48.1,67.3,5.8,117,2022,0
경기,고추,봄,관행,N,1.24,37.9,0.58,25.8,40.4,13.9,5.43,219,2020,0
강원,고추,여름,유기,N,1.47,52.4,0.74,32.3,64.3,57.0,5.62,205,2018,0
경남,배추,봄,유기,Y,0.58,26.0,0.33,11.6,61.4,118.0,6.82,183,2020,0
전북,상추,봄,유기,Y,1.69,43.1,1.79,30.4,77.0,33.5,7.33,286,2022,0
전남,상추,겨울,관행,N,3.77,31.9,1.48,28.5,61.7,71.7,6.61,189,2019,0
충북,토마토,겨울,유기,N,0.57,39.8,0.82,30.9,75.2,64.2,5.88,222,2022,0
경남,포도,여름,유기,N,2.81,20.3,0.25,20.3,66.6,55.0,5.57,170,2019,0
전남,포도,봄,유기,Y,0.85,36.5,0.32,19.0,46.9,107.8,5.68,119,2019,0
전남,토마토,겨울,관행,N,1.5,22.4,0.54,20.3,68.4,62.5,5.65,192,2020,0
경기,상추,가을,관행,Y,1.1,34.8,0.79,20.2,54.1,76.6,6.54,199,2023,0
충북,토마토,봄,유기,N,1.97,41.1,0.57,32.2,48.5,57.9,7.05,297,2021,0
경남,배추,겨울,관행,N,0.85,41.0,1.13,22.8,40.5,63.7,6.56,276,2023,0
충남,감귤,봄,유기,N,2.4,42.4,1.19,18.2,63.9,94.7,7.19,194,2018,0
경남,배추,봄,관행,N,4.46,25.0,0.67,23.2,62.6,74.9,6.11,180,2020,0
제주,고추,봄,관행,N,0.84,47.7,0.92,23.2,56.4,84.1,5.55,179,2022,0
충북,상추,가을,유기,Y,0.34,44.0,1.24,21.2,58.7,77.4,5.88,189,2019,0
경북,배추,가을,유기,Y,0.76,50.5,1.24,17.5,63.0,48.1,5.34,270,2019,0
경남,배추,가을,관행,Y,1.68,31.1,0.18,12.9,72.8,91.4,6.25,130,2019,0
전남,배추,봄,유기,Y,3.89,25.9,1.16,19.5,86.2,16.7,6.0,223,2022,0
제주,포도,봄,관행,N,1.03,29.2,1.18,20.9,62.2,61.9,6.69,200,2018,0
전북,사과,여름,유기,N,2.7,35.0,0.52,17.3,52.4,112.7,5.37,276,2022,0
충남,고추,여름,유기,Y,0.62,29.7,1.35,18.0,98.1,56.6,5.1,313,2018,0
충남,포도,여름,유기,Y,0.56,22.2,1.19,22.2,72.0,45.5,6.42,84,2018,0
충북,토마토,겨울,관행,Y,3.38,34.9,0.66,24.3,72.7,128.3,6.49,208,2020,0
경북,사과,여름,관행,Y,1.2,40.4,0.0,14.5,68.3,50.1,5.71,229,2023,0
전남,사과,가을,유기,N,2.24,36.6,0.87,23.6,61.2,35.2,6.06,224,2020,0
강원,포도,봄,관행,N,6.6,21.9,0.96,22.9,76.4,114.5,6.12,219,2022,0
경북,배추,겨울,유기,N,2.05,27.7,1.63,29.3,87.9,17.5,7.27,143,2022,2
충북,토마토,가을,관행,N,1.28,6.7,1.7,30.0,60.5,13.5,5.88,181,2021,1
충북,배추,봄,유기,N,0.43,46.3,0.4,15.9,56.1,93.1,6.53,244,2019,0
경북,포도,봄,관행,N,1.55,36.5,1.0,25.2,66.8,130.2,6.56,159,2023,0
경북,고추,겨울,유기,N,1.08,43.0,0.1,27.2,50.2,82.1,6.61,259,2023,0
전남,사과,겨울,관행,Y,4.35,20.6,0.38,17.7,45.8,49.3,5.93,152,2023,0
경북,고추,겨울,유기,N,1.28,39.2,1.33,22.4,39.4,140.9,6.07,244,2019,0
경남,배추,가을,관행,Y,3.14,29.3,0.95,24.0,54.1,100.6,5.79,169,2020,0
경기,감귤,봄,관행,Y,0.63,33.2,0.53,22.6,69.8,130.4,6.35,173,2022,0
강원,포도,봄,유기,Y,0.95,29.1,0.8,24.6,55.0,78.1,5.98,210,2020,0
충남,토마토,가을,관행,Y,0.46,44.0,0.82,18.8,53.4,66.2,5.39,184,2021,0
강원,상추,여름,관행,N,0.75,23.2,1.33,22.9,62.8,83.2,6.0,134,2019,2
경남,배추,여름,관행,Y,0.62,39.4,0.57,22.1,74.2,122.8,6.1,135,2019,0
전남,사과,여름,관행,Y,1.9,8.6,1.72,22.7,56.2,0.0,7.03,126,2019,2
전남,포도,겨울,유기,Y,0.73,38.8,0.9,28.3,65.4,87.8,6.9,206,2023,0
경북,포도,봄,유기,Y,1.69,42.9,1.24,12.4,76.0,59.3,5.39,281,2019,0
경북,사과,가을,유기,Y,0.81,38.3,1.57,24.9,61.7,78.9,5.5,215,2022,0
충남,배추,겨울,유기,Y,3.11,40.9,0.41,24.1,55.8,63.5,5.38,231,2021,0
전남,사과,가을,유기,Y,3.04,38.6,1.02,18.5,81.4,55.2,5.4,118,2019,0
전남,토마토,봄,관행,Y,0.28,40.5,1.01,24.0,63.5,117.3,6.22,322,2021,0
전북,포도,봄,관행,Y,4.18,31.0,0.3,20.1,72.3,145.8,5.06,179,2020,0
경기,사과,봄,유기,N,2.6,21.0,1.02,16.7,71.1,86.2,6.99,154,2018,0
경남,토마토,여름,유기,N,0.62,23.5,1.41,17.2,60.1,66.4,5.98,257,2019,0
경북,토마토,여름,관행,Y,1.12,15.5,0.17,24.8,82.7,107.2,7.61,225,2021,0
전북,감귤,봄,유기,Y,1.56,11.3,2.4,23.1,76.1,37.8,6.93,312,2020,1
강원,토마토,가을,관행,N,0.4,55.8,0.1,29.2,72.3,67.7,5.33,231,2019,0
제주,배추,겨울,관행,N,1.28,33.6,0.65,20.0,70.0,65.9,7.09,270,2020,0
경남,감귤,겨울,유기,Y,3.34,24.2,0.79,20.3,74.9,32.5,6.49,134,2022,0
충북,사과,여름,유기,Y,0.19,47.2,1.03,25.7,83.5,73.5,6.32,123,2020,0
충남,배추,여름,유기,Y,2.18,47.2,1.41,22.5,61.2,68.6,7.06,253,2018,0
경기,고추,겨울,유기,N,0.86,28.2,1.43,32.5,80.0,90.6,6.83,209,2018,0
제주,토마토,가을,관행,N,0.42,31.4,1.51,22.7,74.9,91.5,5.93,315,2021,0
전남,토마토,여름,관행,N,1.01,26.5,1.51,18.5,61.5,70.1,7.01,242,2023,0
강원,감귤,가을,유기,Y,0.93,30.9,0.66,26.9,59.5,118.0,6.66,225,2018,0
경기,사과,겨울,관행,N,0.61,19.2,0.98,13.9,69.2,60.8,5.3,220,2021,0
경북,감귤,여름,유기,N,1.12,49.3,0.49,22.3,60.8,118.5,5.61,195,2023,0
충북,토마토,가을,유기,N,5.61,46.4,0.74,16.7,40.6,80.4,5.65,256,2018,0
강원,사과,겨울,유기,Y,6.58,37.1,0.04,19.7,51.9,85.6,6.83,157,2020,0
경북,배추,봄,관행,N,1.31,15.3,0.9,20.4,78.5,118.2,7.01,257,2021,0
충북,포도,겨울,유기,Y,1.49,36.1,1.18,13.3,39.5,126.0,6.15,191,2022,0
전북,고추,여름,관행,Y,1.4,33.3,1.39,16.5,57.3,75.7,6.38,54,2018,0
경북,고추,여름,관행,Y,0.73,9.2,1.31,27.1,72.9,12.6,6.3,179,2023,1
강원,포도,겨울,관행,N,0.68,2.8,2.6,36.0,62.5,0.0,6.18,185,2021,1
충남,고추,봄,유기,Y,2.23,40.5,1.46,18.1,69.7,123.6,5.66,230,2023,0
전북,토마토,겨울,관행,Y,0.3,32.2,0.38,29.2,59.9,108.2,6.28,197,2023,0
전남,고추,여름,관행,Y,1.45,18.3,1.22,17.4,76.5,68.9,5.9,150,2019,0
강원,고추,여름,관행,Y,0.7,50.2,0.42,14.8,69.5,123.3,7.09,216,2021,0
충북,배추,여름,관행,N,1.75,40.5,0.97,17.6,69.7,59.8,6.75,179,2018,0
전남,고추,겨울,관행,Y,3.76,44.0,0.21,23.4,69.6,39.4,5.42,246,2021,0
전북,포도,여름,관행,Y,0.41,40.1,0.31,23.7,67.7,130.3,6.78,267,2018,0
충북,고추,여름,관행,N,2.05,32.8,0.17,24.1,86.5,91.4,5.67,141,2020,0
전남,포도,봄,관행,Y,3.36,36.1,0.85,16.6,65.6,35.8,7.22,250,2020,0
경기,토마토,겨울,유기,N,3.95,42.4,1.67,21.2,48.4,67.7,6.83,89,2018,0
강원,고추,봄,유기,N,1.45,36.3,1.34,28.7,50.6,64.4,5.67,203,2018,0
전북,감귤,여름,관행,Y,0.9,33.7,0.62,17.2,67.3,121.6,6.82,144,2021,0
제주,감귤,여름,관행,N,1.62,38.1,1.0,13.6,71.9,101.2,6.24,246,2023,0
충남,배추,봄,관행,Y,3.35,23.3,0.76,26.8,68.0,0.0,6.92,182,2022,2
경기,토마토,여름,관행,N,3.92,34.6,1.58,21.5,51.7,37.7,6.18,215,2020,0
경기,상추,가을,유기,N,5.11,32.0,0.74,24.8,75.0,50.7,5.61,171,2020,0
경기,감귤,가을,유기,N,0.81,26.3,0.68,19.8,58.2,70.5,6.05,268,2018,0
충남,포도,가을,관행,Y,4.88,21.0,1.22,20.1,80.2,65.2,6.37,129,2019,0
강원,사과,여름,유기,Y,3.96,28.1,0.44,21.3,73.0,27.7,5.93,256,2019,0
경북,토마토,여름,유기,N,3.47,29.1,0.7,6.1,69.9,129.1,6.65,244,2019,0
전남,감귤,가을,관행,N,1.29,26.9,0.85,20.8,50.8,91.9,6.58,224,2019,0
전북,감귤,가을,관행,Y,4.38,36.0,0.5,32.7,87.5,71.6,6.42,151,2023,0
전남,토마토,가을,유기,Y,2.3,27.1,1.11,21.9,71.5,87.2,6.02,194,2020,0
충남,포도,가을,유기,Y,1.52,49.7,0.62,32.3,77.7,132.2,5.76,215,2021,0
경북,고추,겨울,유기,N,4.58,30.3,1.39,26.3,57.0,123.3,6.48,359,2021,0
경북,토마토,가을,관행,N,0.28,32.9,0.76,16.5,53.0,75.9,6.08,170,2023,0
강원,토마토,가을,관행,Y,1.47,47.5,1.28,18.7,83.3,85.4,6.75,227,2020,0
경남,상추,여름,유기,Y,3.52,39.2,0.97,17.4,48.6,0.5,5.66,168,2023,0
제주,감귤,여름,관행,Y,0.68,41.0,0.81,17.6,56.5,72.0,6.06,297,2021,0
강원,상추,여름,관행,Y,4.03,44.7,0.85,17.6,74.2,100.5,7.54,132,2021,0
충북,고추,봄,유기,N,3.03,54.5,1.21,27.6,76.2,81.9,6.02,142,2022,0
강원,고추,겨울,유기,Y,2.86,39.7,0.99,27.8,90.4,55.3,5.94,152,2020,0
경기,상추,여름,관행,N,1.13,40.0,0.67,22.0,62.5,89.0,6.57,212,2023,0
강원,토마토,여름,관행,Y,0.98,39.9,1.21,13.2,75.7,102.2,6.97,127,2018,0
경북,감귤,가을,관행,N,2.12,22.8,1.02,16.2,61.8,96.1,7.84,251,2022,0
충북,고추,봄,관행,N,1.12,45.0,0.78,30.5,74.1,41.3,6.15,220,2023,0
충북,배추,여름,관행,N,1.55,40.0,0.51,21.3,49.8,100.4,5.7,50,2018,0
충북,사과,봄,관행,Y,0.79,45.3,0.34,31.1,51.6,84.4,6.79,190,2019,0
강원,배추,봄,관행,Y,1.82,49.4,1.07,19.3,58.6,42.8,7.01,100,2018,0
경남,포도,여름,유기,Y,1.76,38.5,0.69,21.4,55.7,99.8,5.96,168,2022,0
경북,토마토,가을,관행,Y,2.64,31.3,0.52,18.9,72.4,98.8,5.91,110,2022,0
경북,배추,봄,관행,N,0.71,32.7,1.53,25.2,62.9,83.3,6.25,298,2020,0
충북,사과,겨울,관행,N,1.46,26.2,0.63,17.6,54.8,78.1,6.26,50,2019,0
충북,포도,봄,유기,N,1.9,31.1,1.01,23.8,72.6,92.2,6.51,194,2022,0
경남,고추,겨울,관행,N,0.23,49.1,0.76,14.1,61.2,137.9,5.49,198,2022,0
경남,배추,가을,유기,Y,0.85,46.2,0.54,26.8,62.3,58.4,5.24,202,2020,0
충남,포도,가을,유기,N,1.53,16.8,0.5,16.7,62.5,122.9,6.99,255,2020,0
전남,상추,가을,관행,N,2.04,29.2,0.49,29.6,49.6,48.1,6.7,254,2022,0
경기,토마토,가을,관행,Y,1.57,25.0,0.97,14.2,59.2,101.3,5.69,202,2022,0
제주,감귤,봄,유기,Y,1.15,57.9,1.15,27.6,61.5,70.2,6.41,161,2020,0
경기,포도,가을,유기,Y,1.05,21.8,0.95,25.2,65.9,54.6,7.15,158,2020,0
충북,포도,봄,관행,N,0.69,33.0,0.81,23.9,47.8,49.2,5.88,115,2018,0
충남,배추,봄,유기,N,1.02,34.9,0.57,19.2,73.4,41.3,6.24,233,2018,0
경북,토마토,봄,관행,N,1.67,54.9,1.17,19.2,57.0,87.3,5.97,155,2022,0
경북,배추,여름,관행,N,2.28,0.4,2.06,34.6,86.5,3.6,6.77,240,2022,1
경남,고추,봄,관행,Y,2.62,42.5,0.61,18.2,80.0,84.5,8.11,242,2019,0
경북,감귤,봄,관행,N,0.82,51.5,0.94,16.7,67.6,78.2,5.75,185,2020,0
강원,배추,여름,유기,Y,1.87,9.9,3.03,27.0,64.4,0.0,7.58,143,2020,1
경남,배추,가을,관행,Y,0.71,23.4,0.73,22.9,47.7,97.4,6.59,186,2023,0
강원,배추,가을,관행,N,0.77,16.9,1.38,21.5,73.6,23.1,5.73,179,2023,2
경북,고추,가을,유기,Y,0.4,60.0,1.19,17.8,74.9,38.9,6.85,155,2019,0
제주,토마토,봄,관행,N,1.54,7.6,1.76,30.5,57.2,36.4,6.92,226,2021,1
충남,감귤,겨울,관행,Y,0.49,36.7,1.1,16.7,63.7,23.5,6.14,133,2021,0
강원,사과,가을,유기,N,3.08,27.5,1.29,28.9,52.5,80.8,6.24,223,2023,0
전남,포도,겨울,관행,Y,0.76,28.6,1.77,24.6,61.8,72.6,6.2,157,2020,0
경북,포도,겨울,관행,N,0.78,44.5,0.16,20.7,51.2,80.0,6.21,170,2022,0
경북,고추,겨울,관행,Y,0.26,48.4,1.07,23.7,81.2,82.7,6.8,173,2019,0
전남,토마토,여름,유기,N,2.71,37.8,0.72,34.9,70.1,86.8,5.75,234,2023,0
충북,감귤,봄,관행,N,1.17,52.8,0.65,16.7,70.3,95.9,6.41,107,2019,0
경북,고추,여름,유기,N,0.85,32.9,0.62,22.9,64.1,126.4,6.51,179,2021,0
제주,감귤,가을,유기,N,1.48,48.6,1.37,20.2,70.6,91.0,5.65,129,2022,0
충북,감귤,가을,관행,N,2.45,43.6,0.53,25.8,70.1,77.0,6.93,50,2021,0
강원,상추,가을,유기,N,6.74,18.6,1.69,25.5,68.8,69.7,5.57,234,2021,2
전북,사과,겨울,관행,Y,1.89,43.5,0.0,11.4,83.5,87.8,4.62,209,2022,0
전북,포도,겨울,관행,N,0.66,47.4,1.11,23.2,42.1,54.3,5.8,155,2020,0
충북,배추,가을,관행,N,1.97,39.5,1.51,21.0,83.3,83.2,6.67,268,2023,0
경북,감귤,봄,관행,N,1.23,38.2,0.24,14.8,75.1,80.6,7.45,199,2020,0
전북,감귤,겨울,유기,Y,3.93,34.1,1.07,26.9,57.0,95.8,5.76,207,2019,0
강원,감귤,봄,관행,N,1.53,46.1,0.52,15.2,55.0,101.0,6.1,135,2022,0
충북,토마토,가을,관행,N,0.19,28.8,0.99,23.2,74.8,80.3,7.44,194,2020,0
전남,배추,가을,유기,N,1.17,38.0,1.06,25.5,58.6,84.6,6.44,271,2018,0
충남,고추,봄,유기,Y,1.5,15.0,0.95,15.9,62.6,15.9,8.04,228,2022,2
전남,토마토,겨울,유기,N,2.34,32.3,0.34,21.9,52.6,52.5,6.11,138,2021,0
경기,사과,여름,유기,Y,1.68,35.8,0.86,23.9,73.5,61.6,6.88,188,2023,0
전북,고추,가을,유기,N,2.38,30.5,1.14,22.4,63.0,137.8,5.78,173,2023,0
경기,상추,겨울,유기,Y,1.07,18.2,1.07,32.5,60.9,61.4,6.96,183,2023,0
경북,토마토,봄,관행,Y,1.01,25.0,0.52,18.6,48.1,96.3,6.95,208,2020,0
충북,사과,봄,유기,N,1.2,0.0,3.14,25.0,71.1,18.7,6.02,168,2018,1
강원,배추,가을,유기,N,0.8,24.6,1.1,18.4,65.5,6.2,6.24,288,2021,0
충남,고추,겨울,관행,Y,3.82,22.5,1.03,25.4,58.5,82.4,6.37,208,2020,0
제주,토마토,여름,유기,Y,2.88,6.8,0.89,29.6,51.5,59.8,6.52,188,2018,0
전북,포도,겨울,관행,N,3.44,26.8,0.69,23.4,71.6,76.8,6.09,253,2023,0
경기,상추,봄,관행,Y,4.18,38.7,1.0,25.2,73.9,75.9,6.57,307,2018,0
경북,토마토,봄,관행,N,0.54,44.0,1.02,21.8,79.1,55.1,5.47,94,2019,0
